premise,hypothesis,label
"@USER Und was bringen Ihnen Ihre Organe, wenn Sie eh inter der Erde von den Maden aufgefressen werden oder im Krematorium verbrannt werden?",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@MEDIUM Ich bin gespannt.,Dieser Kommentar ist humoristisch veranlagt,2
"@MEDIUM mir ist neu, dass der WDR sich gegen ""Frighday for Future"" einsetzt! Nein Sie fordern die Schüler auf, am Schule schwänzen teil zu nehmen!",Dieser Kommentar ist humoristisch veranlagt,2
@USER Das sollten sie aber ernst nehmen. Wie so einiges anderes auch.,Dieser Kommentar ist Zynismus,2
"Es muss ein Umdenken her. Wer ausschließlich den deutschen Pass hat ist deutscher und wer zu den deutschen Pass noch einen weiteren hat ist ist deutscher mit Migrationshintergründen. Die BR muss auch zusehen, dass die, die sich ihren Vorteil mit dem Pass aussuchen, also was das finanzielle angeht lieber deutsch sind aber die Rechte deren Heimatland als recht ansehen und dabei alles deutsche ablehnen denen gehört ganz schnell der deutsche pass entzogen. Wer hier alle Vorteile in Anspruch nimmt aber gleichzeitig unsere Gesetze und vor allem unseren Präsidenten ablehnt weil deren ( türkischer ) Präsident der einzige ist dann gehört denen der deutsche Pass entzogen und auch zurück in die Türkei abgeschoben. Selbst wenn dieser Bürger hier geboren wurde.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER oh,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER Die Hessen-Grünen beschlossen zusammen mit CDU gegen SPD die NSU-Akten 120Jahre verschwinden zu lassen. Das Wort Demokratie dürfen Grüne somit nicht mehr in den Mund nehmen!,Dieser Kommentar ist humoristisch veranlagt,2
"@USER Nun, da haben Sie Glück, dass Sie nicht hirntot waren, sonst hätte man sie wohl ausgenommen bei lebendigem Leib und Sie wären nie wieder aufgewacht! So wie derjenige, von dem Sie die Lunge haben.",Dieser Kommentar ist eine Beleidigung,2
@USER Ich denke oft noch an den Fürsten aus Regensburg zurück...der bekam in null komma nix seine Transplantationen.Ein Schelm wer schlechtes dabei denkt,Dieser Kommentar ist humoristisch veranlagt,2
Das frage ich mich auch,Dieser Kommentar ist eine Beleidigung,2
@USER Sie sind unwissend! Wie so viele die da jubeln! Ich schreibe nur was stimmt. Warum sollte ich das auch nicht machen... ich bin ja nicht Frau Merkel :D,In diesem Kommentar findet man Diskriminierung,0
Klimaaktivistin? Ich lache mich kaputt. Was hat Sie denn fürs Klima getan?,Dieser Kommentar ist Zynismus,0
"@USER, nicht nur Grünenwähler werden diffamiert! CDU, FDP, Linke, AfD und SPD Wähler genauso... Tut schon weh, wenn man nur seine Welt sieht..., nicht wahr? 😉",Dieser Kommentar ist eine Beleidigung,0
"Weil manche Politiker unbedingt Migranten brauchen, um sich dann medial betroffen zu zeigen und irgendwas zu fordern um die vermeintlich benachteiligte Minderheit zu fördern. Zuviele Leute leben davon, da darf der hilflose Migrant nicht Mangelware werden, da müssen notfalls auch die Deutschen zum Migranten werden.",Dieser Kommentar ist Zynismus,0
na so was kaum eine Debatte über das Klima und das Wetter schlägt um saukalt jetzt danke @MODERATOR...,Dieser Kommentar ist eine Beleidigung,0
"@USER Das war zu Thatchers Zeiten. Die Grünen sind glasklare Anhänger des Maoismus. Das waren sie immer, das werden sie immer sein. Sollten die wirklich in die Situation kommen, mal richtig was zu melden zu haben, dann werden einige Wähler auch nicht mehr damit angeben, dass sie die gewählt haben. Ich finde es einfach nur noch unfassbar, von was für Idioten wir umgeben sind.",In diesem Kommentar findet man Diskriminierung,0
