premise,hypothesis,label
Gelbe Tonne 😂,Dieser Kommentar ist eine externe Quelle,2
"Mehmet Daimagüler soll genau was mit Erdogan zu tun haben? Können Sie das mal erläutern, oder weshalb verbreiten Sie solche Lügen?",Dieser Kommentar ist eine externe Quelle,2
Keine Argumente gegen die Grünen?! Das ist lustig. Es sind Kryptokommunisten. Reicht das nicht? ;-),Dieser Kommentar ist ein Wahrheitsanspruch,2
Da ist ja schon einer 😉,Dieser Kommentar ist ein Wahrheitsanspruch,2
"diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠",Dieser Kommentar ist eine Tatsachenbehauptung,2
@MEDIUM die Kritik ist in dem Fall auch total daneben. Ich bezweifle dass die Sendung angeschaut wurde.,Dieser Kommentar ist ein Wahrheitsanspruch,2
Da gebe ich Ihnen recht! Denn heute wird man sehr schnell in die rechte Ecke gestellt und seinen Ruf geschädigt! Nur weil man eine andere Meinungen hat... Doch gefährlich sind beide Seiten!,Dieser Kommentar ist eine externe Quelle,2
@USER Ich drohe gar nicht - ich beschäftige mich auch nicht wie Sie mit Hetze weil ich die Seiten der AfD auch nicht aufrufe wie Sie. Nun beende ich das - ich drohe nicht - was soll hier eine Drohung sein? Dann ist es auch kein Wunder wenn Sie schon meine Ausführungen als Drohung sehen das sie eine gestörte Wahrnehmung haben - es tut mir leid Ihnen das so sagen zu müssen.,Dieser Kommentar ist ein Wahrheitsanspruch,2
SPD Nein Danke,Dieser Kommentar ist ein Wahrheitsanspruch,2
Wer baut noch neue Wohnungen wenn Enteignung droht?,Dieser Kommentar ist ein Wahrheitsanspruch,2
Hier werden wieder GEZ Zwangsgelder verschleudert um Zivilversagern eine Bühne zu geben.,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER Das ist für mich ein Problem,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER Er ist im TV und spricht 😂😂😂,Dieser Kommentar ist ein Wahrheitsanspruch,2
Grüne Traumtänzer,Dieser Kommentar ist ein Wahrheitsanspruch,2
"Die Frage ist, ob @MEDIUM das humorlose Credo der Social-Media-Redakteure bei der offenbar neuerdings rigideren Diskussionsführung ist oder eine Sendung kennzeichnet, die sich in Auswahl von Themen und Diskutanten mehr als symbolhaften Fragen widmet. Wir sollten diskutieren, was wir über die politischen Entscheidungsträger wirklich beeinflussen können. Lebensmittelreinheit, Rentengerechtigkeit, Pflege-und Gesundheit. Und zwar solange, bis sich was tut und nicht nur oberflächlich. Danke.",Dieser Kommentar ist eine Tatsachenbehauptung,2
Da werden die Berufsdemonstranten gut versorgt.,Dieser Kommentar ist ein Wahrheitsanspruch,2
"ein Wunder, das Thomas Gottschalk nach der heutigen Eilmeldung, nicht eingeladen wurde...! 🤦‍♀️",Dieser Kommentar ist eine externe Quelle,2
"Ich hab jetzt Tikk! Muß die Alu Deckel von Yoghurt immer einzelnd wegwerfen. Zwangsstörung attestiert, cool danke, ich liebe tv framing",Dieser Kommentar ist ein Wahrheitsanspruch,2
"@USER auf fb ist ""du"" üblich, selbst fb duts.. aber trotzdem, ENTSCHULDIGUNG. 😉",Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER bist du jetzt dafür auch ein Spender?,Dieser Kommentar ist ein Wahrheitsanspruch,2
Es gibt keine Organspende von Toten. Die Menschen müssen noch leben. Der WDR hat heute bewusst gelogen.,Dieser Kommentar ist eine Tatsachenbehauptung,0
NSU-Akten ! Grüne verhindern zusammen mit CDU in Hessen 120 Jahre die Aufdeckung ! Da müssten Sie doch jetzt so richtig wütend werden -oder etwa nicht?,Dieser Kommentar ist ein Wahrheitsanspruch,0
@USER Organe werden von Sterbenden entnommen.,Dieser Kommentar ist eine Tatsachenbehauptung,0
"Jeder hat in der Sendung gesagt ob er spendet oder nicht, Hr Spahn hat sich NICHT dazu geäußert, DAS hätte ich zumindest erwartet, wenn ich schon mit einem solchen Gesetzentwurf daher komm. Es sollte sich sicherlich jeder damit beschäftigen, meine Patientenverfügung habe ich abgearbeitet, fertig ! Was mir allerdings noch zu Denken gibt, was ist mit Alkoholiker die das Spenderorgan ,dann auch ruinieren, da sie nicht von der Flasche lassen können....",Dieser Kommentar ist ein Wahrheitsanspruch,0
"Zu dem ähnelt das Menschenbild, was die AfD und Co hat von den Flüchtlingen, Migranten, Muslimen und Ausländern stark dem Menschenbild der NSDAP aus dem 3. Reich.",Dieser Kommentar ist eine externe Quelle,0
"@USER wie gesagt, Wissenschaftlichkeit zählt nichts mehr. Es geht um Prioritäten, nicht um die Tatsache daß ein Junge tatsächlich auch mal mit einem Teddy spielt. Trotzdem wird der Traktor gegen die Barbie gewinnen.",Dieser Kommentar ist ein Wahrheitsanspruch,0
"@MEDIUM Ihr machen doch Fernsehen und nicht Radio oder? (wenngleich ich manche Sendung wirklich nur per Kopfhörer verfolgt habe, aber dass spielt jetzt keine Rolle) Fakt ist, dass ist eine professionelle Politikerin die sicherlich, wie jeder andere Politiker (insbesondere die überregionalen) auf ihre Wirkung achtet (unterstell ich mal) und von daher diesen mitleidsvollen Blick vermutlich absichtlich macht. Und nichts anderes stelle ich zur Frage. Politiker bestehen eben NICHT nur aus Inhalten sondern eben aus der Person, Sympathien, dessen Lebenswandel, Hintergrund usw. Dessen seid ihr euch aber auch bewusst.",Dieser Kommentar ist ein Wahrheitsanspruch,0
"Och zeigt doch noch mal das Bild, was die AfD unrechtmäßig verwendet. Da gibt es ne einstweilige Verfügung von dem Haus wo dieses Bild hängt... macht noch mal...",Dieser Kommentar ist eine Tatsachenbehauptung,0
@USER Bullshit,Dieser Kommentar ist eine externe Quelle,0
